1 1:0.097228 2:0.096135 3:0.007261
1 1:0.127566 2:0.116812 3:0.024415
1 1:0.100644 2:0.096135 3:0.014833
1 1:0.100127 2:0.096462 3:0.013373
1 1:0.140907 2:0.131366 3:0.023903
1 1:0.169150 2:0.143951 3:0.040861
1 1:0.160723 2:0.144931 3:0.034554
1 1:0.180463 2:0.160031 3:0.034768
1 1:0.140905 2:0.120553 3:0.031745
1 1:0.166677 2:0.134213 3:0.048036
1 1:0.160779 2:0.123102 3:0.044077
1 1:0.160067 2:0.146823 3:0.031323
1 1:0.081540 2:0.079379 3:0.009322
1 1:0.085155 2:0.081841 3:0.011754
1 1:0.111304 2:0.110571 3:0.005652
1 1:0.199653 2:0.183576 3:0.036029
1 1:0.234588 2:0.186024 3:0.067911
1 1:0.203062 2:0.141792 3:0.071386
1 1:0.104878 2:0.098489 3:0.015413
1 1:0.212833 2:0.142271 3:0.077493
1 1:0.141659 2:0.131529 3:0.022854
1 1:0.253611 2:0.211142 3:0.057762
1 1:0.219344 2:0.169499 3:0.059045
1 1:0.222928 2:0.165680 3:0.070618
1 1:0.141799 2:0.130419 3:0.025272
1 1:0.214968 2:0.139169 3:0.081182
1 1:0.155558 2:0.132382 3:0.038751
1 1:0.119807 2:0.115421 3:0.013992
1 1:0.153449 2:0.131381 3:0.035652
1 1:0.216153 2:0.137819 3:0.081477
1 1:0.099176 2:0.097862 3:0.005559
1 1:0.159651 2:0.143562 3:0.028984
1 1:0.112517 2:0.110041 3:0.009787
1 1:0.215839 2:0.163371 3:0.062178
1 1:0.195862 2:0.179368 3:0.031644
1 1:0.173012 2:0.125929 3:0.052458
1 1:0.165977 2:0.151819 3:0.032466
1 1:0.204374 2:0.159380 3:0.052698
1 1:0.093032 2:0.090802 3:0.008403
1 1:0.140907 2:0.136356 3:0.014257
1 1:0.157932 2:0.127456 3:0.041591
1 1:0.143536 2:0.142773 3:0.005491
1 1:0.195278 2:0.162985 3:0.053600
1 1:0.164561 2:0.128406 3:0.039017
1 1:0.145863 2:0.133004 3:0.022112
1 1:0.197920 2:0.163453 3:0.050865
1 1:0.231305 2:0.163637 3:0.069752
1 1:0.193051 2:0.158405 3:0.041703
1 1:0.169658 2:0.119854 3:0.055426
1 1:0.126938 2:0.124852 3:0.008939
1 1:0.136360 2:0.127016 3:0.018486
1 1:0.133441 2:0.127664 3:0.013794
1 1:0.188341 2:0.147665 3:0.046125
1 1:0.137542 2:0.129692 3:0.022361
1 1:0.247224 2:0.166400 3:0.070727
1 1:0.139849 2:0.125399 3:0.019059
1 1:0.233355 2:0.168814 3:0.071582
1 1:0.155281 2:0.148923 3:0.016525
1 1:0.209723 2:0.152591 3:0.055377
1 1:0.161210 2:0.143892 3:0.030460
1 1:0.200762 2:0.160863 3:0.044236
1 1:0.166879 2:0.145399 3:0.033239
1 1:0.202351 2:0.158051 3:0.054008
1 1:0.180104 2:0.156013 3:0.028241
1 1:0.138927 2:0.126606 3:0.019999
1 1:0.197245 2:0.179179 3:0.039430
1 1:0.183915 2:0.152506 3:0.038877
1 1:0.159204 2:0.138091 3:0.033970
1 1:0.178836 2:0.157867 3:0.034586
1 1:0.154849 2:0.121413 3:0.040465
1 1:0.192509 2:0.154548 3:0.049454
1 1:0.146501 2:0.124904 3:0.028302
1 1:0.225253 2:0.166003 3:0.055041
1 1:0.229346 2:0.188733 3:0.050124
1 1:0.180640 2:0.172192 3:0.013258
